"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","25.50","25.90","25.92","25.34","4.45M","-0.78%"
"09/16/2024","25.70","25.45","25.99","25.31","6.05M","1.22%"
"09/12/2024","25.39","24.49","25.50","24.40","2.26M","4.49%"
"09/11/2024","24.30","24.20","24.90","23.90","1.14M","1.25%"
"09/10/2024","24.00","24.20","24.20","23.79","2.98M","0.00%"
"09/09/2024","24.00","23.99","24.22","23.80","2.39M","0.04%"
"09/08/2024","23.99","24.50","24.60","23.90","7.51M","-2.08%"
"09/05/2024","24.50","24.40","25.00","24.25","4.31M","0.00%"
"09/04/2024","24.50","24.80","24.90","24.25","2.84M","-0.41%"
"09/03/2024","24.60","24.98","25.50","24.31","5.40M","-1.60%"
"09/02/2024","25.00","25.34","25.89","24.85","12.11M","-1.26%"
"09/01/2024","25.32","25.60","26.44","25.10","5.38M","-0.51%"
"08/29/2024","25.45","24.65","26.00","24.40","8.08M","3.25%"
"08/28/2024","24.65","23.00","25.10","22.80","5.74M","7.17%"
"08/27/2024","23.00","22.90","23.18","22.65","2.70M","0.00%"
"08/26/2024","23.00","22.80","23.00","22.46","718.07K","0.88%"
"08/25/2024","22.80","23.38","23.38","22.77","572.21K","-2.98%"
"08/22/2024","23.50","22.67","23.50","22.10","1.69M","3.57%"
"08/21/2024","22.69","22.00","22.69","21.69","878.34K","3.14%"
"08/20/2024","22.00","22.01","22.30","21.93","323.21K","0.14%"
"08/19/2024","21.97","22.06","22.49","21.83","1.93M","-1.21%"
"08/18/2024","22.24","22.05","22.80","22.05","345.28K","0.63%"
"08/15/2024","22.10","22.31","22.50","21.90","1.57M","-0.14%"
"08/14/2024","22.13","22.82","22.99","22.13","1.96M","-2.90%"
"08/13/2024","22.79","23.35","23.59","22.60","812.71K","-2.40%"
"08/12/2024","23.35","23.30","24.00","23.05","2.66M","-0.21%"
"08/11/2024","23.40","22.15","23.77","22.15","2.21M","6.12%"
"08/08/2024","22.05","21.70","23.00","21.33","1.93M","1.71%"
"08/07/2024","21.68","21.50","21.80","21.11","1.13M","1.78%"
"08/06/2024","21.30","21.00","21.43","20.70","810.39K","1.43%"
"08/05/2024","21.00","22.30","22.30","20.61","2.23M","-5.83%"
"08/04/2024","22.30","22.30","22.40","21.07","1.72M","-2.87%"
"08/01/2024","22.96","22.15","23.00","22.15","3.66M","2.73%"
"07/31/2024","22.35","21.98","22.60","21.60","4.29M","1.59%"
"07/30/2024","22.00","21.91","22.20","21.19","1.23M","0.46%"
"07/29/2024","21.90","22.41","22.44","21.86","2.53M","-2.58%"
"07/28/2024","22.48","22.39","22.85","22.04","482.61K","-0.04%"
"07/24/2024","22.49","21.80","22.60","21.60","2.64M","3.17%"
"07/23/2024","21.80","21.24","21.98","21.08","938.14K","2.64%"
"07/22/2024","21.24","21.00","21.50","20.96","1.52M","1.14%"
"07/21/2024","21.00","21.10","21.20","20.72","741.32K","0.00%"
"07/18/2024","21.00","20.08","21.70","19.87","3.37M","5.74%"
"07/17/2024","19.86","18.80","20.40","18.70","4.09M","6.20%"
"07/16/2024","18.70","18.60","18.85","18.60","2.23M","0.97%"
"07/15/2024","18.52","18.80","18.98","18.52","8.86M","-1.44%"
"07/14/2024","18.79","18.46","18.94","18.46","886.61K","1.73%"
"07/10/2024","18.47","18.28","18.57","18.08","2.51M","1.04%"
"07/09/2024","18.28","18.46","18.55","17.91","990.17K","-0.98%"
"07/08/2024","18.46","18.54","18.69","18.00","733.00K","-0.32%"
"07/07/2024","18.52","18.50","18.97","18.41","1.12M","0.65%"
"07/04/2024","18.40","17.80","18.40","17.80","1.82M","3.08%"
"07/03/2024","17.85","17.60","17.96","17.60","1.29M","1.88%"
"07/02/2024","17.52","18.06","18.15","17.52","1.52M","-2.94%"
"07/01/2024","18.05","18.18","18.29","17.90","1.53M","-0.72%"
