"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2025","69.09","69.64","69.95","68.45","1.24M","-0.55%"
"04/08/2025","69.47","69.84","70.51","69.45","2.29M","-2.21%"
"04/07/2025","71.05","71.18","72.27","70.32","2.76M","-0.57%"
"04/06/2025","71.45","70.73","72.45","70.27","1.28M","-1.38%"
"04/03/2025","72.45","74.55","74.89","72.45","1.99M","-3.34%"
"03/27/2025","74.95","74.55","74.95","74.12","1.99M","0.67%"
"03/26/2025","74.45","74.28","74.82","73.45","2.15M","0.23%"
"03/25/2025","74.28","74.27","75.00","74.10","1.58M","-0.23%"
"03/24/2025","74.45","74.36","75.14","74.09","1.96M","0.13%"
"03/23/2025","74.35","72.35","74.55","71.91","2.38M","3.66%"
"03/20/2025","71.73","71.00","72.73","70.91","6.10M","1.02%"
"03/19/2025","71.00","70.91","71.00","70.60","969.92K","0.13%"
"03/18/2025","70.91","70.77","70.91","70.46","1.38M","0.09%"
"03/17/2025","70.85","69.77","70.99","69.47","1.98M","1.59%"
"03/16/2025","69.74","70.18","70.36","69.55","1.02M","-0.44%"
"03/13/2025","70.05","70.02","70.36","69.93","3.41M","0.06%"
"03/12/2025","70.00","70.19","70.22","69.90","2.26M","-0.25%"
"03/11/2025","70.17","70.45","70.82","69.84","654.51K","-0.91%"
"03/10/2025","70.82","70.74","70.96","70.46","3.30M","0.12%"
"03/09/2025","70.74","70.45","70.91","70.27","1.69M","0.40%"
"03/06/2025","70.45","70.45","70.70","70.01","1.01M","0.00%"
"03/05/2025","70.45","69.41","70.64","69.37","2.10M","1.64%"
"03/04/2025","69.32","70.14","70.50","69.32","1.47M","-1.12%"
"03/03/2025","70.10","69.64","70.64","69.45","3.55M","0.80%"
"03/02/2025","69.55","68.89","69.63","68.89","1.15M","1.06%"
"02/27/2025","68.82","70.00","70.17","68.82","5.77M","-1.06%"
"02/26/2025","69.55","70.55","71.05","69.55","3.00M","-1.40%"
"02/25/2025","70.55","72.40","72.40","70.48","2.74M","-2.56%"
"02/24/2025","72.40","72.55","72.55","71.70","2.09M","-0.13%"
"02/23/2025","72.49","72.00","72.54","71.64","785.94K","0.94%"
"02/20/2025","71.82","72.73","72.86","71.45","2.08M","-1.21%"
"02/19/2025","72.70","72.72","73.09","72.38","2.60M","0.91%"
"02/18/2025","72.05","72.46","72.73","71.82","1.77M","-0.56%"
"02/17/2025","72.45","71.65","72.73","71.42","2.92M","1.52%"
"02/16/2025","71.37","70.89","72.00","70.45","743.18K","0.67%"
"02/13/2025","70.90","70.45","70.91","70.02","1.27M","0.50%"
"02/12/2025","70.55","70.00","70.63","69.36","3.71M","0.51%"
"02/11/2025","70.19","70.05","70.68","69.95","1.89M","0.21%"
"02/10/2025","70.05","70.36","71.45","70.02","1.01M","-0.50%"
"02/09/2025","70.40","70.91","71.00","69.73","328.05K","-0.72%"
"02/06/2025","70.91","70.45","70.91","70.00","934.07K","0.65%"
"02/05/2025","70.45","69.64","70.45","69.36","2.05M","1.23%"
"02/04/2025","69.60","69.72","70.45","69.55","1.44M","-0.17%"
"02/03/2025","69.72","69.41","69.96","69.41","2.05M","0.45%"
"02/02/2025","69.41","69.89","70.17","69.37","621.82K","0.20%"
"01/30/2025","69.27","69.46","70.45","69.22","2.20M","0.12%"
"01/29/2025","69.19","69.41","70.00","69.09","1.64M","-0.31%"
"01/28/2025","69.41","69.77","70.06","69.00","2.37M","-0.20%"
"01/27/2025","69.55","70.38","70.59","69.41","1.19M","-0.80%"
"01/26/2025","70.11","69.91","70.91","69.54","1.38M","0.82%"
"01/23/2025","69.54","69.28","70.12","69.01","1.22M","0.45%"
"01/22/2025","69.23","69.55","70.45","69.23","1.91M","-0.33%"
"01/21/2025","69.45","69.00","69.72","69.00","758.13K","0.78%"
"01/20/2025","68.92","69.56","70.00","68.87","2.02M","-0.88%"
"01/19/2025","69.53","69.82","69.98","69.09","515.54K","0.24%"
"01/16/2025","69.36","68.73","69.91","68.64","2.35M","1.06%"
"01/15/2025","68.64","68.22","69.17","67.73","2.35M","0.67%"
"01/14/2025","68.18","66.36","69.03","66.36","2.39M","1.76%"
"01/13/2025","67.00","69.55","70.25","67.00","5.78M","-3.36%"
"01/12/2025","69.33","70.45","70.63","69.12","2.07M","-1.60%"
"01/09/2025","70.45","72.01","72.50","70.45","633.27K","-2.02%"
"01/08/2025","71.91","71.72","72.54","71.27","2.98M","0.32%"
"01/06/2025","71.68","71.82","72.18","71.42","1.09M","-0.23%"
"01/05/2025","71.85","71.95","72.27","71.82","856.27K","-0.10%"
"01/02/2025","71.92","71.55","72.26","71.46","923.46K","0.78%"
"12/31/2024","71.36","71.75","72.35","71.28","2.84M","-0.14%"
"12/30/2024","71.46","72.18","72.73","71.36","2.93M","-0.56%"
"12/29/2024","71.86","73.54","74.08","71.86","1.26M","-2.27%"
"12/26/2024","73.54","74.22","74.55","73.51","1.66M","-0.87%"
"12/25/2024","74.18","74.10","74.64","73.83","531.92K","0.18%"
"12/24/2024","74.05","75.13","75.64","73.82","3.46M","-1.39%"
"12/23/2024","75.09","76.07","76.07","75.09","3.56M","-1.11%"
"12/22/2024","75.94","76.27","76.36","75.50","1.36M","-0.55%"
"12/19/2024","76.35","75.55","76.35","74.56","9.74M","1.07%"
"12/18/2024","75.55","74.82","76.36","74.82","2.83M","1.30%"
"12/17/2024","74.57","76.09","76.09","74.57","1.38M","-2.00%"
"12/16/2024","76.09","75.91","76.19","75.73","4.35M","0.25%"
"12/15/2024","75.90","75.45","76.09","75.09","1.38M","0.60%"
"12/12/2024","75.45","74.55","75.65","74.45","4.17M","1.22%"
"12/11/2024","74.54","73.64","74.97","73.64","2.26M","1.47%"
"12/10/2024","73.45","74.58","74.99","73.45","1.05M","-1.46%"
"12/09/2024","74.55","75.00","75.09","74.55","2.52M","-0.24%"
"12/08/2024","74.73","74.55","75.36","74.55","783.73K","0.24%"
"12/05/2024","74.55","74.97","75.40","74.55","3.87M","-0.36%"
"12/04/2024","74.82","74.85","75.09","74.55","1.83M","-0.06%"
"12/03/2024","74.86","74.09","75.00","73.65","7.78M","1.06%"
"12/02/2024","74.08","73.85","74.55","73.45","4.83M","0.31%"
"12/01/2024","73.85","73.63","73.98","73.10","1.75M","-0.20%"
"11/28/2024","74.00","71.45","74.00","71.25","2.60M","3.56%"
"11/27/2024","71.45","72.73","72.73","71.45","2.42M","-1.75%"
"11/26/2024","72.73","72.23","72.73","72.08","1.35M","0.95%"
"11/25/2024","72.05","72.63","73.18","72.05","7.64M","-0.75%"
"11/24/2024","72.59","72.64","72.95","72.55","1.85M","0.05%"
"11/21/2024","72.55","72.82","73.18","72.55","2.40M","-0.24%"
"11/20/2024","72.73","73.17","73.17","72.28","3.03M","-0.25%"
"11/19/2024","72.91","73.91","74.09","72.91","1.06M","-1.01%"
"11/18/2024","73.65","74.33","74.65","73.65","1.19M","-0.86%"
"11/17/2024","74.29","75.15","75.40","74.28","759.56K","-1.09%"
"11/14/2024","75.11","75.04","75.73","75.00","2.89M","0.15%"
"11/13/2024","75.00","74.63","75.44","74.63","2.83M","0.55%"
"11/12/2024","74.59","75.00","75.25","74.51","1.90M","-0.50%"
"11/11/2024","74.96","74.68","75.45","74.55","4.65M","0.43%"
"11/10/2024","74.65","73.68","74.77","73.68","2.03M","1.36%"
"11/07/2024","73.65","73.73","74.10","73.50","4.15M","0.01%"
"11/06/2024","73.64","73.55","74.18","73.37","1.65M","0.37%"
"11/05/2024","73.36","73.53","73.73","73.09","3.19M","0.62%"
"11/04/2024","72.91","74.54","74.55","72.82","6.09M","-1.00%"
"11/03/2024","73.65","73.03","73.95","73.03","1.43M","1.26%"
"10/31/2024","72.73","72.49","73.73","72.49","5.82M","0.33%"
"10/30/2024","72.49","72.73","73.32","72.27","3.85M","-0.30%"
"10/29/2024","72.71","73.64","73.82","72.45","3.00M","-1.12%"
"10/28/2024","73.54","73.55","74.27","72.73","11.47M","-0.01%"
"10/27/2024","73.55","71.76","73.82","71.76","2.48M","2.53%"
"10/24/2024","71.73","71.51","72.27","71.27","2.36M","0.31%"
"10/23/2024","71.51","72.27","72.72","71.45","1.84M","-0.81%"
"10/22/2024","72.09","72.23","72.73","71.36","3.91M","-0.25%"
"10/21/2024","72.27","69.75","72.27","69.09","2.55M","3.91%"
"10/20/2024","69.55","72.05","72.06","69.55","1.50M","-3.15%"
"10/17/2024","71.82","72.45","72.86","71.82","1.83M","-0.77%"
"10/16/2024","72.37","72.74","73.64","72.32","4.07M","-0.43%"
"10/15/2024","72.68","73.65","73.73","72.11","5.79M","-1.03%"
"10/14/2024","73.44","73.09","73.55","72.06","2.33M","0.98%"
"10/13/2024","72.73","73.75","74.53","71.83","2.98M","-1.25%"
"10/10/2024","73.65","75.05","75.41","73.65","5.19M","-1.81%"
"10/09/2024","75.00","76.00","76.36","74.19","3.05M","-1.20%"
"10/08/2024","75.91","77.09","77.54","74.80","5.68M","-1.76%"
"10/07/2024","77.27","77.30","78.07","76.95","4.29M","0.00%"
"10/03/2024","77.27","77.82","78.11","77.27","1.94M","-0.69%"
"10/02/2024","77.81","78.15","78.41","77.20","2.27M","-0.88%"
"10/01/2024","78.50","77.27","78.58","70.29","9.99M","2.19%"
"09/30/2024","76.82","77.57","78.18","76.82","5.41M","-0.59%"
"09/29/2024","77.27","77.67","77.86","77.27","1.42M","-0.47%"
"09/26/2024","77.64","77.73","78.14","77.33","2.59M","0.05%"
"09/25/2024","77.60","77.36","77.61","76.82","4.09M","0.42%"
"09/24/2024","77.27","77.86","78.18","77.27","2.78M","-0.64%"
"09/23/2024","77.77","77.99","78.64","77.73","3.90M","0.11%"
"09/22/2024","77.69","78.82","79.15","77.43","4.01M","-1.54%"
"09/19/2024","78.91","77.64","78.91","77.28","5.65M","1.82%"
"09/18/2024","77.50","77.71","77.91","77.27","2.34M","0.29%"
"09/17/2024","77.27","77.64","78.09","77.27","3.79M","-0.54%"
"09/16/2024","77.69","78.32","79.15","77.59","2.10M","-0.97%"
